frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
97.7,WOXY,MASON,OH,NDIR,2.7,39.51588888888889,84.35133333333333,A,106.7 THE OASIS,151.5,"Radioactive, LLC",Classic Hits,Cincinnati
107.7,WPFX-FM,LUCKEY,OH,DRL,5.2,41.42755555555555,83.60827777777777,A,107.7 THE WOLF,107.0,"PATTON ADVERTIZING ENTERPRISES, LLP",Country,Toledo
98.3,WPKO-FM,BELLEFONTAINE,OH,NDIR,1.75,40.36811111111111,83.73383333333334,A,MIX 98.3,131.0,"V-TECK COMMUNICATIONS, INC.",Adult Contemporary,
95.1,WPLC-LP,PIQUA,OH,NDIR,0.09,40.11783333333334,84.18872222222222,LP100,,31.464664,PIQUA CHRISTIAN LIFESTYLE RADIO,Religious Teaching,Dayton
102.3,WPOS-FM,HOLLAND,OH,NDIR,6.0,41.62561111111111,83.71133333333334,A,PROCLAIM FM,95.0,"MAUMEE VALLEY BROADCASTING ASSOCIATION, INC.",Contemporary Christian,Toledo
104.1,WPYK,PORTSMOUTH,OH,DRL,100.0,38.683416666666666,83.01266666666666,C0,K-LOVE,450.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Huntington-Ashland
104.1,WQAL,CLEVELAND,OH,NDIR,12.0,41.341166666666666,81.73986111111111,B,Q 104,293.0,"Audacy License, LLC",Hot AC,Cleveland
92.7,WQEL,BUCYRUS,OH,NDIR,3.0,40.763666666666666,82.93325,A,Q 92.7 ICONIC ROCK,93.0,"FRANKLIN COMMUNICATIONS, INC.",Classic Rock,
93.7,WQGR,NORTH MADISON,OH,NDIR,6.0,41.746944444444445,81.08002777777777,A,GOLD 93.7,79.0,"MEDIA ONE HOLDINGS, LLC",Oldies,Cleveland
93.7,WQIO,MOUNT VERNON,OH,OTS,37.0,40.405055555555556,82.43875,B,SUPER Q 93.7,172.0,"BAS Broadcasting, Inc.",Adult Contemporary,
104.5,WQKT,WOOSTER,OH,NDIR,52.0,40.79416666666666,81.90416666666667,B,WQKT 104.5 SPORTS + COUNTRY,101.0,River Radio Ministries,Sports,
106.5,WQLX,CHILLICOTHE,OH,DRL,4.8,39.33116666666667,82.99683333333333,A,MIX 106.5,80.0,iHeartMedia,Hot AC,
94.9,WQMX,MEDINA,OH,NDIR,16.0,41.08283333333333,81.63372222222223,B,WQMX-FM 94.9,268.0,"RUBBER CITY RADIO GROUP, INC",Country,Akron
104.1,WQOU-LP,MT GILEAD,OH,NDIR,0.014,40.53422222222222,82.70183333333334,LP100,ETERNAL WORD NETWORK,79.493164,LEGION OF MARY,Religious Teaching,
105.5,WQQO,SYLVANIA,OH,NDIR,4.3,41.647,83.60494444444444,A,Q 105,118.7,Cumulus Media,,Toledo
89.5,WQRP,DAYTON,OH,DRL,6.0,39.75783333333333,84.19325,B1,RADIO NUEVA VIDA,64.0,EDUCATIONAL MEDIA FOUNDATION,Religious Teaching,Dayton
105.1,WQXK,SALEM,OH,NDIR,88.0,40.88561111111111,80.83175,B,K 105 - CONTINUOUS COUNTRY FAVORITES,136.0,Cumulus Media,Country,
103.1,WRAC,GEORGETOWN,OH,NDIR,6.0,38.87063888888889,83.76519444444445,A,C-103 COUNTRY,100.0,"DREAMCATCHER COMMUNICATIONS, INC.",Country,Cincinnati
88.9,WRDL,ASHLAND,OH,OTS,3.0,40.861444444444444,82.31958333333333,A,MORE MUSIC MORE YOU,52.0,ASHLAND UNIVERSITY,Contemporary Hit Radio,
97.1,WREO-FM,ASHTABULA,OH,NDIR,50.0,41.81616666666666,80.78091666666667,B,LITE MIX 97.1,152.0,"MEDIA ONE HOLDINGS, LLC",Soft AC,
94.9,WREW,FAIRFIELD,OH,NDIR,10.5,39.20033333333333,84.52269444444444,B,MIX 94.9,322.0,Hubbard Media,Hot AC,Cincinnati
101.3,WRKD-LP,ROCKFORD,OH,NDIR,0.094,40.69308333333333,84.64550000000001,LP100,,30.626181,VILLAGE OF ROCKFORD,Classic Hits,Lima-Van Wert
99.7,WRKZ,COLUMBUS,OH,OTS,20.0,39.97116666666667,83.02766666666666,B,99.7 THE BLITZ,239.0,"NORTH AMERICAN BROADCASTING COMPANY, INC.",Rock,"Columbus, OH"
91.1,WRMU-FM,ALLIANCE,OH,OTS,2.8,40.9045,81.11230555555555,A,,58.0,The University of Mount Union,Smooth Jazz,Canton
92.1,WROU-FM,WEST CARROLLTON,OH,NDIR,1.05,39.718111111111114,84.25577777777778,A,DAYTON'S R&B LEADER,163.0,ALPHA MEDIA LICENSEE LLC,Urban AC,Dayton
93.5,WRPO-LP,RUSSELLS POINT,OH,NDIR,0.1,40.46808333333333,83.89241666666668,LP100,INDIAN LAKE`S GREATEST HITS,25.064205,"VILLAGE OF RUSSELLS POINT, OHIO",Oldies,
106.9,WRQK-FM,CANTON,OH,NDIR,27.5,40.822833333333335,81.42761111111112,B,ROCK 106.9,103.0,iHeartMedia,Rock,Canton
93.5,WRQN,BOWLING GREEN,OH,NDIR,7.0,41.45783333333333,83.65911111111112,B1,93-5 WRQN,121.0,Cumulus Media,Classic Hits,Toledo
98.5,WRRM,CINCINNATI,OH,NDIR,18.0,39.122,84.54772222222222,B,WARM 98.5,246.0,Cumulus Media,Adult Contemporary,Cincinnati
89.9,WRRO,EDON,OH,DRL,15.0,41.54958333333333,84.77161111111111,B1,ANNUNCIATION RADIO,96.0,Ave Maria Communications,Religious Teaching,
91.1,WRUW-FM,CLEVELAND,OH,DRL,15.0,41.52061111111111,81.58399999999999,B1,WRUW-FM 91.1,89.0,CASE WESTERN RESERVE UNIVERSITY,Variety,Cleveland
102.1,WRVB,MARIETTA,OH,NDIR,11.0,39.324250000000006,81.62569444444443,B1,102 THE RIVER,150.0,iHeartMedia,Contemporary Hit Radio,
101.5,WRVF,TOLEDO,OH,NDIR,33.0,41.67311111111111,83.42522222222223,B,101 THE RIVER,164.0,iHeartMedia,Soft AC,Toledo
93.7,WSAV-LP,LORAIN,OH,NDIR,0.043,41.424749999999996,82.14941666666667,LP100,,46.0,SHILOH MISSIONARY BAPTIST CHURCH,Religious Teaching,Cleveland
98.5,WSAX-LP,COLUMBUS,OH,NDIR,0.1,39.98166666666667,82.85305555555556,LP100,,14.0,Columbus Jazz Alliance (formerly SEMM FOUNDATION),Jazz,"Columbus, OH"
107.7,WSEO,NELSONVILLE,OH,NDIR,3.0,39.46061111111111,82.21902777777778,A,WILD COUNTRY 107.7,100.0,"NELSONVILLE TV CABLE, INC.",Country,
88.3,WSGR,NEW BOSTON,OH,NDIR,1.7,38.72263888888889,83.00138888888888,B1,ST. GABRIEL RADIO,233.0,"ST. GABRIEL RADIO, INC.",Religious Teaching,Huntington-Ashland
90.9,WSHB,WILLARD,OH,DRL,0.45,41.04808333333333,82.68116666666667,A,ANNUNCIATION RADIO,71.5,Ave Maria Communications,Religious Teaching,
106.7,WSIB-LP,ATHENS,OH,NDIR,0.026,39.340333333333334,82.10125,LP100,,57.0,"St Isidore Media, Inc.",Variety,
94.7,WSNY,COLUMBUS,OH,OTS,22.0,39.97116666666667,83.02766666666666,B,SUNNY 95,230.0,"FRANKLIN COMMUNICATIONS, INC.",Adult Contemporary,"Columbus, OH"
88.9,WSOH,ZANESFIELD,OH,NDIR,0.4,40.33538888888889,83.66266666666667,A,RISE FM,130.0,"SOARING EAGLE PROMOTIONS, INC.",Contemporary Christian,
88.9,WSTB,STREETSBORO,OH,NDIR,0.68,41.15116666666667,81.33677777777777,A,THE ALTER-NATION,113.6,STREETSBORO CITY SCHOOL DISTRICT,Rock,Akron
97.3,WSWO-LP,HUBER HEIGHTS,OH,NDIR,0.1,39.82563888888889,84.14977777777779,LP100,,30.0,"SOUTHWESTERN OHIO PUBLIC RADIO, INC.",Oldies,Dayton
100.1,WSWR,SHELBY,OH,NDIR,3.0,40.945055555555555,82.66155555555557,A,MY 100.1,91.0,iHeartMedia,Classic Hits,
97.7,WTGN,LIMA,OH,DRL,6.0,40.75644444444445,84.13327777777778,A,WITNESSING THE GOOD NEWS RADIO,91.0,"ASSOCIATED CHRISTIAN BROADCASTERS, INC.",Religious Teaching,Lima-Van Wert
97.5,WTGR,UNION CITY,OH,DRL,6.0,40.192249999999994,84.79938888888888,A,TIGER COUNTRY,99.0,"POSITIVE RADIO GROUP, INC. OF OHIO",Country,
107.1,WTJN-LP,TROY,OH,NDIR,0.075,40.05744444444444,84.27616666666667,LP100,,35.0,TROY COMMUNITY FM,Variety,Dayton
89.7,WTKC,FINDLAY,OH,NDIR,0.2,41.05308333333333,83.65352777777778,A,UNIQUELY REFRESHING 89.7,26.0,"FAITH EDUCATIONAL MEDIA, INC.",Contemporary Christian,
106.5,WTKD,GREENVILLE,OH,NDIR,50.0,40.146972222222225,84.60994444444444,B,THE TRUTH,146.0,Delmarva Educational Association,Religious Teaching,
99.3,WTNS-FM,COSHOCTON,OH,OTS,1.2,40.275055555555554,81.82677777777778,A,THE SPIRIT OF COSHOCTON,134.0,COSHOCTON BROADCASTING CO.,Adult Contemporary,
106.5,WTOD,DELTA,OH,DRL,4.8,41.513666666666666,83.84994444444445,A,THE TRUTH,111.9,Delmarva Educational Association,Religious Teaching,Toledo
98.9,WTOH,UPPER ARLINGTON,OH,DRL,2.6,39.97116666666667,83.02766666666666,A,98.9 THE ANSWER,154.0,"SALEM MEDIA OF OHIO, INC.",Talk,"Columbus, OH"
88.9,WTPG,WHITEHOUSE,OH,DRL,12.3,41.42755555555555,83.60827777777777,B1,FAMILY FRIENDLY - COMMERCIAL FREE,83.5,"TAYLOR UNIVERSITY BROADCASTING, INC.",Contemporary Christian/Religious Teaching,Toledo
94.1,WTPS-LP,NAPOLEON,OH,NDIR,0.1,41.393388888888886,84.14269444444444,LP100,,16.0,ST. PAUL LUTHERAN CHURCH,Religious Teaching,
101.1,WTTP-LP,LIMA,OH,NDIR,0.1,40.75113888888889,84.12022222222221,LP100,,21.197609,CALVARY CHAPEL OF LIMA,Religious Teaching,Lima-Van Wert
104.7,WTUE,DAYTON,OH,NDIR,28.0,39.722,84.20911111111111,B,104.7 WTUE ROCKS,200.0,iHeartMedia,Rock,Dayton
99.9,WTUZ,UHRICHSVILLE,OH,NDIR,5.3,40.43866666666666,81.43344444444445,A,Z-COUNTRY,106.0,"WTUZ RADIO, INC.",Country,
105.1,WUBE-FM,CINCINNATI,OH,NDIR,14.5,39.125055555555555,84.49883333333334,B,B 105,280.0,Hubbard Media,Country,Cincinnati
98.1,WUDR,DAYTON,OH,NDIR,0.013,39.787277777777774,84.23966666666666,D,FLYER RADIO,27.3,UNIVERSITY OF DAYTON,Variety,Dayton
88.7,WUFM,COLUMBUS,OH,DRL,5.0,39.93783333333333,83.021,B,RADIOU,236.0,"SPIRIT COMMUNICATIONS, INC",Christian CHR + Rock,"Columbus, OH"
96.9,WUHS-LP,WEST UNION,OH,NDIR,0.08,38.81366666666666,83.58158333333333,LP100,,33.507648,WEST UNION HIGH SCHOOL,Variety,
89.1,WUSO,SPRINGFIELD,OH,NDIR,0.1,39.93588888888888,83.81130555555555,A,DISCOVER CLASSICAL 88.1,,"Dayton Public Radio, Inc.",Classical,Dayton
95.7,WVKF,SHADYSIDE,OH,DRL,6.8,40.06147222222222,80.75230555555555,B1,KISS-FM 95.7,191.0,iHeartMedia,Contemporary Hit Radio,Wheeling
92.5,WVKS,TOLEDO,OH,NDIR,50.0,41.53197222222222,83.59352777777778,B,92.5 KISS FM TOLEDO,146.0,iHeartMedia,Contemporary Hit Radio,Toledo
99.3,WVLO,CRIDERSVILLE,OH,DRL,4.5,40.663777777777774,84.0858611111111,A,K-LOVE,116.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Lima-Van Wert
90.7,WVMC-FM,MANSFIELD,OH,DRL,1.55,40.72255555555556,82.531,A,RISE FM,75.0,"SOARING EAGLE PROMOTIONS, INC.",Contemporary Christian,
90.5,WVML,MILLERSBURG,OH,DRL,15.0,40.60227777777778,81.74208333333334,B1,MOODY RADIO,112.0,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
89.5,WVMS,SANDUSKY,OH,NDIR,5.5,41.44141666666666,82.80544444444445,A,MOODY RADIO,30.0,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
91.7,WVMU,ASHTABULA,OH,DRL,3.2,41.85388888888889,80.6888888888889,A,MOODY RADIO,104.3,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
107.9,WVMX,WESTERVILLE,OH,NDIR,3.0,40.24491666666667,82.93022222222223,A,MIX 107.9,143.0,"FRANKLIN COMMUNICATIONS, INC.",Hot AC,"Columbus, OH"
106.1,WVNO-FM,MANSFIELD,OH,NDIR,40.0,40.76394444444445,82.61766666666666,B,MIX 106,166.0,"JOHNNY APPLESEED BROADCASTING CO, INC..",Adult Contemporary,
97.5,WVNU,GREENFIELD,OH,NDIR,2.3,39.407444444444444,83.35380555555555,A,WVNU-FM 97.5,164.0,"Total Media Group, Inc.",Adult Contemporary,
95.7,WVQC-LP,CINCINNATI,OH,NDIR,0.028,39.126805555555556,84.49897222222222,LP100,RADIO FREE QUEEN CITY,56.0,"Music Resource Center - Cincinnati, LLC",Variety,Cincinnati
95.1,WVXG,MOUNT GILEAD,OH,DRL,6.0,40.58755555555556,82.80544444444445,A,95.1 MID OHIO'S CLASSIC ROCK,100.0,"DELMAR COMMUNICATIONS, INC.",Classic Rock,
91.7,WVXU,CINCINNATI,OH,NDIR,26.0,39.12533333333334,84.4991111111111,B,NEWS 91.7 - 88.5,208.0,"CINCINNATI PUBLIC RADIO, INC.",News/Talk,Cincinnati
96.5,WVZC-LP,TOLEDO,OH,NDIR,0.1,41.63413888888889,83.55666666666666,LP100,,25.6,NUESTRA GENTE COMMUNITY PROJECTS,Spanish,Toledo
92.1,WWBJ-LP,HILLSBORO,OH,NDIR,0.1,39.196999999999996,83.61130555555555,LP100,,24.773857,HOPE RADIO OF HILLSBORO,Religious Teaching,
97.9,WWGL-LP,STEUBENVILLE,OH,NDIR,0.026,40.35616666666667,80.66461111111111,LP100,,58.0,COMMUNITY OF GOD'S LOVE,Religious Teaching,
88.1,WWGV,GROVE CITY,OH,DRL,14.0,39.72116666666667,83.14325000000001,B1,AMERICAN FAMILY RADIO,84.0,AMERICAN FAMILY ASSOCIATION,Religious Teaching,"Columbus, OH"
105.9,WWJM,NEW LEXINGTON,OH,NDIR,1.7,39.777,82.16486111111112,A,94.5 & 105.9 THE MIX,191.0,"Perry County Broadcasting Company, Inc.",Hot AC,
104.9,WWKC,CALDWELL,OH,NDIR,3.0,39.813111111111105,81.61038888888888,A,KICKIN COUNTRY KC-105,100.0,"AVC COMMUNICATIONS, INC.",Country,
107.1,WWLG,CIRCLEVILLE,OH,NDIR,6.0,39.6645,82.851,A,K-LOVE,100.0,"BLUE CHIP BROADCASTING LICENSES, LTD.",Religious Teaching,
97.7,WWOC-LP,BOWLING GREEN,OH,NDIR,0.067,41.37061111111111,83.64550000000001,LP100,,36.698021,"WWOC GOSPEL BROADCASTING, INC.",Religious Teaching,Toledo
104.5,WWOH-LP,MARIETTA,OH,NDIR,0.027,39.41811111111111,81.4565,LP100,,56.253563,"HOPE RADIO OF MARIETTA, INC.",Religious Teaching,
101.1,WWOV-LP,MARTINS FERRY,OH,NDIR,0.006,40.054249999999996,80.75925,LP100,,116.1,"WHEELING JAMBOREE, INC.",Country,Wheeling
93.1,WWSR,LIMA,OH,NDIR,3.0,40.763083333333334,84.183,A,93.1 THE FAN,97.0,WOOF BOOM RADIO OF LIMA LLC,Sports,Lima-Van Wert
106.9,WWSU,FAIRBORN,OH,NDIR,0.02,39.78261111111111,84.0616111111111,D,THE WRIGHT CHOICE,64.0,WRIGHT STATE UNIVERSITY,Variety,Dayton
106.3,WWTL-LP,LOGAN,OH,NDIR,0.1,39.50663888888889,82.36897222222221,LP100,,27.18956,BRANCH COMMUNICATIONS,Religious Teaching,
97.1,WWWR-LP,WADSWORTH,OH,NDIR,0.015,41.02444444444444,81.72125,LP100,WADSWORTH COMMUNITY RADIO,76.101181,DOWNTOWN WADSWORTH INC.,Variety,Cleveland
101.5,WXBW,GALLIPOLIS,OH,OTS,50.0,38.80533333333333,82.22652777777778,B,BIG BUCK COUNTRY 101.5,150.0,"Kindred Communications, Inc.",Country,
100.9,WXIZ,WAVERLY,OH,NDIR,4.2,39.215611111111116,82.9785,A,KASH FM 100.9,120.0,"Total Media Group, Inc.",Country,
94.5,WXKR,PORT CLINTON,OH,DRL,30.0,41.50088888888889,83.27102777777777,B,94.5 XKR TOLEDO'S CLASSIC ROCK,188.2,Cumulus Media,Classic Rock,
91.9,WXMF,MARION,OH,DRL,6.0,40.614222222222224,83.21547222222223,A,MUSIC OF OUR FAITH,93.0,"KAYSER BROADCAST MINISTRIES, INC.",Contemporary Christian/Religious Teaching,
95.5,WXMG,LANCASTER,OH,DRL,21.0,39.67561111111111,82.67597222222223,B,MAGIC 95.5,232.0,"BLUE CHIP BROADCASTING LICENSES, LTD.",Urban AC,
90.1,WXML,UPPER SANDUSKY,OH,NDIR,15.0,40.91477777777778,83.12547222222221,B,NEW VISION FM,158.0,"KAYSER BROADCAST MINISTRIES, INC.",Contemporary Christian/Religious Teaching,
89.3,WXMW,SYCAMORE,OH,NDIR,0.39,40.91477777777778,83.12547222222221,A,MUSIC OF OUR FAITH,158.0,"KAYSER BROADCAST MINISTRIES, INC.",Contemporary Christian/Religious Teaching,
105.5,WXTQ,ATHENS,OH,NDIR,6.0,39.35505555555556,82.09208333333333,A,PURE ROCK 105 XTQ,95.0,"Total Media Group, Inc.",Classic Rock,
88.3,WXTS-FM,TOLEDO,OH,OTS,0.105,41.668638888888886,83.55408333333332,A,JAZZ 88-3,38.0,BOARD OF EDUCATION TOLEDO CITY SCHOOL DISTRICT,Jazz,Toledo
88.3,WXUT,TOLEDO,OH,NDIR,0.1,41.65725,83.61574999999999,A,TOLEDO'S ONLY ALTERNATIVE,58.0,UNIVERSITY OF TOLEDO,Adult Alternative,Toledo
107.7,WXXF,LOUDONVILLE,OH,NDIR,4.2,40.67213888888889,82.30416666666666,A,107.7 THE BREEZE,119.0,iHeartMedia,Soft AC,
100.1,WXZQ,PIKETON,OH,NDIR,6.0,39.09813888888889,82.95544444444445,A,HITS NOW,100.0,"Total Media Group, Inc.",Contemporary Hit Radio,
105.7,WXZX,HILLIARD,OH,NDIR,2.4,39.969500000000004,83.00269444444444,A,ALT 105-7,159.0,iHeartMedia,Adult Alternative,"Columbus, OH"
98.3,WYBL,ASHTABULA,OH,DRL,4.7,41.85388888888889,80.6888888888889,A,98.3 THE BULL,110.4,"MEDIA ONE HOLDINGS, LLC",Country,
107.3,WYBZ,CROOKSVILLE,OH,NDIR,3.6,39.78733333333333,82.09683333333332,A,Y 107.3,101.3,"AVC COMMUNICATIONS MULTIMEDIA GROUP, LLC",Classic Hits,
96.9,WYDA,TROY,OH,DRL,6.0,39.946999999999996,84.19133333333333,A,AIR1,95.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Dayton
94.5,WYDB,ENGLEWOOD,OH,DRL,3.6,39.81755555555556,84.248,A,DAYTON'S CONSERVATIVE TALK,130.0,Delmarva Educational Association,Talk,Dayton
88.1,WYFY,CAMBRIDGE,OH,DRL,1.5,40.027027777777775,81.55233333333334,A,BIBLE BROADCASTING NETWORK,44.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
105.3,WYHT,MANSFIELD,OH,OTS,50.0,40.76922222222222,82.53961111111111,B,Y-105,113.0,iHeartMedia,Hot AC,
98.7,WYKL,CRESTLINE,OH,NDIR,2.6,40.7575,82.78933333333333,A,K-LOVE,113.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
101.9,WYLR,HUBBARD,OH,NDIR,3.0,41.09283333333334,80.49922222222223,A,K-LOVE,98.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
89.1,WYNS,WAYNESVILLE,OH,DRL,6.0,39.50533333333333,84.14741666666667,A,CLASS X RADIO,49.0,"SPRYEX COMMUNICATIONS, INC.",Christian Rock,Cincinnati
95.9,WYNT,CALEDONIA,OH,NDIR,4.6,40.681999999999995,83.00741666666667,A,MAJIC 95.9,114.0,iHeartMedia,Adult Contemporary,
88.5,WYOR,REPUBLIC,OH,NDIR,0.1,41.108916666666666,83.00294444444444,A,SMILE FM MICHIGAN'S POSITIVE HITS,32.0,SMILE FM,Contemporary Christian,
98.7,WYRO,MCARTHUR,OH,NDIR,5.4,39.155055555555556,82.59680555555555,A,CLASSIC ROCK 98.7,105.0,"Total Media Group, Inc.",Classic Rock,
88.5,WYSA,WAUSEON,OH,DRL,10.0,41.55811111111111,84.1855,B1,YES FM,89.0,"SIDE BY SIDE, INC.",Contemporary Christian,Toledo
89.3,WYSM,LIMA,OH,NDIR,3.0,40.654222222222224,84.10994444444444,A,YES FM,67.0,"SIDE BY SIDE, INC.",Contemporary Christian,Lima-Van Wert
91.3,WYSO,YELLOW SPRINGS,OH,DRL,36.0,39.672,84.07616666666667,B,PUBLIC RADIO FOR THE MIAMI VALLEY,174.0,MIAMI VALLEY PUBLIC MEDIA,News/Adult Alternative,Dayton
88.5,WYSU,YOUNGSTOWN,OH,DRL,50.0,41.0565,80.64527777777778,B,WYSU 88.5,114.7,YOUNGSTOWN STATE UNIVERSITY,Classical/News,Youngstown-Warren
89.3,WYSZ,MAUMEE,OH,DRL,2.7,41.62533333333334,83.67105555555555,A,YES FM,74.0,"SIDE BY SIDE, INC.",Contemporary Christian,Toledo
91.7,WYTN,YOUNGSTOWN,OH,NDIR,0.9,41.05783333333333,80.64480555555556,A,FAMILY RADIO,181.0,"FAMILY STATIONS, INC.",Religious Teaching,Youngstown-Warren
92.1,WYVK,MIDDLEPORT,OH,NDIR,4.7,39.058416666666666,82.04180555555556,A,K 92,111.0,"Total Media Group, Inc.",Classic Hits,
104.5,WYWH-LP,ATHENS,OH,NDIR,0.1,39.333111111111116,82.08874999999999,LP100,,-31.0,"HOPE RADIO OF ATHENS, INC.",Religious Teaching,
106.9,WZAA-LP,JEFFERSONVILLE,OH,NDIR,0.1,39.653666666666666,83.56241666666666,LP100,,15.237991,"MC3 COMMUNITY BROADCASTING, INC",Variety,
93.1,WZAK,CLEVELAND,OH,OTS,27.5,41.28058333333333,81.6226111111111,B,CLEVELAND'S R&B LEADER,189.0,"BLUE CHIP BROADCASTING LICENSES, LTD",Urban AC,Cleveland
106.7,WZCB,DUBLIN,OH,NDIR,3.0,40.01722222222222,83.01972222222223,A,106.7 THE BEAT,144.0,iHeartMedia,Urban Contemporary,"Columbus, OH"
89.3,WZCP,CHILLICOTHE,OH,NDIR,2.1,39.345888888888894,83.18738888888889,A,89.3 THE RIVER,120.0,RIVER RADIO MINISTRIES,Contemporary Christian,
103.9,WZDA,BEAVERCREEK,OH,DRL,2.9,39.722,84.20911111111111,A,NEW COUNTRY 103.9,146.0,iHeartMedia,Country,Dayton
88.1,WZIP,AKRON,OH,DRL,7.5,41.08291666666667,81.63377777777778,B,Z88,250.0,THE UNIVERSITY OF AKRON,Rhythmic CHR,Akron
96.1,WZLP-LP,LOUDONVILLE,OH,NDIR,0.1,40.63227777777778,82.24736111111112,LP100,,1.0,ZION EVANGELICAL LUTHERAN CHURCH,Religious Teaching,
95.3,WZLR,XENIA,OH,DRL,6.0,39.631166666666665,83.89408333333334,A,THE EAGLE 95.3-101.1,98.0,"CMG Radio Operating Company, LLC",Classic Hits,Dayton
107.1,WZMO-LP,MARION,OH,NDIR,0.1,40.606972222222225,83.13575,LP100,,30.0,MARION COMMUNITY RADIO,Variety,
89.3,WZNP,NEWARK,OH,DRL,5.5,39.9795,82.21097222222222,B1,89.3 THE RIVER,119.0,RIVER RADIO MINISTRIES,Contemporary Christian,"Columbus, OH"
105.7,WZOM,DEFIANCE,OH,NDIR,6.0,41.223111111111116,84.3766111111111,A,THE BULL,100.0,iHeartMedia,Country,
102.5,WZOO-FM,EDGEWOOD,OH,NDIR,5.8,41.82891666666667,80.82424999999999,A,MAGIC 102.5,100.0,"MEDIA ONE HOLDINGS, LLC",Classic Hits,
107.5,WZRX-FM,FORT SHAWNEE,OH,NDIR,1.35,40.663944444444446,84.08522222222221,A,107.5 THE BIG BUCK,151.0,iHeartMedia,Oldies,Lima-Van Wert
103.7,WZVL,PHILO,OH,DRL,2.4,39.92833333333333,81.98527777777778,A,HIGHWAY 103.7,159.8,"Marquee Broadcasting Ohio, Inc.",Country,
89.5,WZWP,WEST UNION,OH,DRL,3.0,38.857305555555556,83.61047222222221,B1,KING OF KINGS RADIO,174.0,SOMERSET EDUCATIONAL BROADCASTING FOUNDATION,Religious Teaching/Southern Gospel,
107.5,WZZZ,PORTSMOUTH,OH,NDIR,2.6,38.722861111111115,82.99877777777778,A,THE BREEZE 107.5,151.0,"Total Media Group, Inc.",Classic Rock,Huntington-Ashland
